city,lat,lng,country,population,predicted_population
Najran,17.5065,44.1316,Saudi Arabia,369609,369046.45550813875
Mahilyow,53.8985,30.3247,Belarus,369200,368892.20097637275
Al-Qatif,26.5196,50.0115,Saudi Arabia,368892,368453.097119406
Valletta,35.8997,14.5147,Malta,368250,367271.7428601325
Mazatlán,23.2211,-106.42,Mexico,368204,369205.12635518005
Longyan,25.1804,117.03,China,367896,368925.04782202677
Aurora,39.7084,-104.7274,United States,366623,366581.21460251743
Bydgoszcz,53.1204,18.01,Poland,366452,367054.78868493286
Kuantan,3.83,103.32,Malaysia,366229,366219.3583121399
Gorontalo,0.55,123.07,Indonesia,365497,364582.30644991447
Nakuru,-0.28,36.07,Kenya,364727,365538.9783876038
Vladikavkaz,43.0504,44.67,Russia,364630,364449.3196303818
Larkana,27.5618,68.2068,Pakistan,364033,365192.54610092286
Christchurch,-43.535,172.63,New Zealand,363200,362770.04310789803
Stavropol,45.05,41.98,Russia,363064,362032.35340850125
Sanya,18.2591,109.504,China,362689,361782.84493427473
Bhagalpur,25.23,86.98,India,361548,361950.42997336935
Maseru,-29.3167,27.4833,Lesotho,361324,362780.58281890536
Sheikhu Pura,31.72,73.99,Pakistan,361303,362324.30629053724
Cusco,-13.525,-71.9722,Peru,361182,360485.7910923145
Tamale,9.4004,-0.84,Ghana,360579,361261.065383157
Ulan Ude,51.825,107.625,Russia,360278,360780.4458247274
Bobo Dioulasso,11.18,-4.29,Burkina Faso,360106,360954.46685605723
Lublin,51.2504,22.5727,Poland,360044,359574.9602841251
Halifax,44.65,-63.6,Canada,359111,359612.9638178096
Augsburg,48.35,10.9,Germany,358989,357615.70343272854
Sungai Petani,5.6497,100.4793,Malaysia,358499,359251.61755642365
Ad Diwaniyah,31.9889,44.924,Iraq,358408,359341.3691880002
Taraz,42.9,71.365,Kazakhstan,358153,357945.21351603983
Toulon,43.1342,5.9188,France,357693,358359.4780940336
Zanjan,36.67,48.5,Iran,357471,357496.0098635528
San Sebastián,43.3204,-1.98,Spain,357468,359254.2480510091
Iwaki,37.0553,140.89,Japan,357309,357619.3099576409
Encarnación,-27.3472,-55.8739,Paraguay,357119,355522.1037801143
Posadas,-27.3578,-55.8851,Argentina,357119,357733.6149331643
Fuyu,45.1804,124.82,China,356905,358147.38233516796
Cà Mau,9.1774,105.15,Vietnam,356636,356653.40028105467
Asahikawa,43.755,142.38,Japan,356612,356003.70948550774
Mirput Khas,25.5318,69.0118,Pakistan,356435,356373.17029742117
Archangel,64.575,40.545,Russia,356051,354091.1927098176
Wafangdian,39.6259,121.996,China,355844,356205.93818283983
Ambon,-3.7167,128.2,Indonesia,355596,354265.28415977885
Orizaba,18.85,-97.13,Mexico,355333,355714.3047096255
Longxi,35.0476,104.6394,China,355037,355760.19380468404
Santiago del Estero,-27.7833,-64.2667,Argentina,354692,354896.68433509767
Mito,36.3704,140.48,Japan,353892,352477.9981004562
Safi,32.32,-9.24,Morocco,353476,354491.99697300914
Eldoret,0.52,35.27,Kenya,353381,351960.44383232004
Rahim Yar Khan,28.4202,70.2952,Pakistan,353203,352557.3015173247
Neiva,2.931,-75.3302,Colombia,352855,352578.3584691957
Anaheim,33.839,-117.8572,United States,352497,351931.290176444
Vinnytsya,49.2254,28.4816,Ukraine,352115,353470.3291161094
Hualien,23.9837,121.6,Taiwan,350468,349596.99037872715
Kuala Terengganu,5.3304,103.12,Malaysia,350210,351147.7594163311
Qoqon,40.5404,70.94,Uzbekistan,350000,350042.9386426085
Long Xuyen,10.3804,105.42,Vietnam,350000,348560.69214330346
Việt Trì,21.3304,105.43,Vietnam,350000,349264.3946422763
Yumen,39.83,97.73,China,350000,350840.20342102787
Haarlem,52.3804,4.63,Netherlands,349957,349892.6312313438
Buon Me Thuot,12.667,108.05,Vietnam,349945,349139.5323018161
Chimbote,-9.07,-78.57,Peru,349846,348938.674823429
Muzaffarnagar,29.485,77.695,India,349706,350193.53994798556
Nuevo Laredo,27.5,-99.55,Mexico,349550,348421.4583387625
Lancaster,34.6934,-118.1753,United States,349218,347850.1313455004
Sanandaj,35.3,47.02,Iran,349176,349806.9604119959
Linz,48.3192,14.2888,Austria,349161,349807.3183235121
Camagüey,21.3808,-77.9169,Cuba,347562,345385.5450760869
Verona,45.4404,10.99,Italy,347459,348441.3555741211
Victorville,34.5277,-117.3537,United States,346948,346701.12167240586
London,42.97,-81.25,Canada,346765,346256.71052631806
Astana,51.1811,71.4278,Kazakhstan,345604,346147.279273845
Merida,8.4,-71.13,Venezuela,345489,344763.2612548561
Charleroi,50.4204,4.45,Belgium,345367,344908.6865610113
Belgorod,50.63,36.5999,Russia,345289,346604.7683803973
Kosti,13.17,32.66,Sudan,345068,344665.09922419727
Al Amarah,31.8416,47.1512,Iraq,345007,344195.84172052046
Maebashi,36.3927,139.0727,Japan,344871,344687.3022823375
Pensacola,30.4427,-87.1886,United States,344400,343754.31800659304
Kurgan,55.46,65.345,Russia,343129,341977.4282420189
Kohat,33.6027,71.4327,Pakistan,343027,343369.27503985376
Vitsyebsk,55.1887,30.1853,Belarus,342700,343684.61309017753
Piracicaba,-22.71,-47.64,Brazil,342209,340408.41125560104
Yeosu,34.7368,127.7458,"Korea, South",341994,340131.1198686101
Fayetteville,36.0713,-94.166,United States,341890,341794.1123773559
Corpus Christi,27.7173,-97.3822,United States,341435,341824.9842635114
Jhang,31.2804,72.325,Pakistan,341210,339821.5390012933
Pematangsiantar,2.9614,99.0615,Indonesia,341200,340971.06180654094
Arusha,-3.36,36.67,Tanzania,341136,342276.59197944467
Corrientes,-27.49,-58.81,Argentina,340823,341795.12830240146
Kōriyama,37.41,140.38,Japan,340560,339799.65112035576
Plovdiv,42.154,24.754,Bulgaria,340494,339846.4571726969
Chitungwiza,-18,31.1,Zimbabwe,340360,340203.47340270306
Aksu,41.15,80.25,China,340020,341722.43219040456
Yaan,29.9804,103.08,China,340000,340772.3588934845
Tieling,42.3004,123.82,China,340000,339525.8747583694
Irapuato,20.67,-101.5,Mexico,339554,337427.62424460216
Kaluga,54.5204,36.27,Russia,338978,337842.01524871244
East London,-32.97,27.87,South Africa,338627,339430.76246504457
Jackson,32.3163,-90.2124,United States,338185,337840.37819149776
Kaesong,37.964,126.5644,"Korea, North",338155,336297.27289111575
Ciudad Bolívar,8.1,-63.6,Venezuela,338000,337764.60616117145
Kawagoe,35.9177,139.4911,Japan,337931,339007.5292897835
Lalitpur,27.6666,85.3333,Nepal,337785,337024.49508564326
Phan Thiet,10.9337,108.1001,Vietnam,336846,338849.55054573674
Alor Setar,6.1133,100.3729,Malaysia,336475,336528.0352457006
Santa Cruz de Tenerife,28.47,-16.25,Spain,336061,335369.0552402337
Gijón,43.53,-5.67,Spain,335972,336191.0629876225
Greensboro,36.0956,-79.8269,United States,335588,335452.7157122115
Kōchi,33.5624,133.5375,Japan,335570,337296.77400592156
Flint,43.0236,-83.6922,United States,335354,336062.16337293916
Bauru,-22.33,-49.08,Brazil,335024,336163.7293587263
Nakhon Ratchasima,15,102.1,Thailand,334984,333882.3000953433
Orel,52.97,36.07,Russia,334552,334661.4251250862
Takamatsu,34.3447,134.0448,Japan,334223,334970.9220688878
Santa Ana,33.7366,-117.8819,United States,334136,334742.8745903684
Muzaffarpur,26.1204,85.3799,India,333200,332414.11800656037
Beni,0.4904,29.45,Congo (Kinshasa),332903,333679.29409886705
Toyama,36.7,137.23,Japan,332812,333161.70986738976
Hangu,39.232,117.777,China,332793,334390.9184764372
Medani,14.4,33.52,Sudan,332714,332969.20550144464
Montes Claros,-16.72,-43.86,Brazil,332379,332541.26798971393
Bielefeld,52.03,8.53,Germany,331906,330906.649656974
Bujumbura,-3.3761,29.36,Burundi,331700,330303.6381692714
Heyuan,23.7304,114.68,China,330961,331725.644695782
Mathura,27.5,77.67,India,330511,329758.20663566253
Mymensingh,24.7504,90.38,Bangladesh,330126,330742.60042123083
Baishan,41.9,126.43,China,330000,330310.50829281064
Patiala,30.3204,76.385,India,329224,330006.024357535
Wonsan,39.1605,127.4308,"Korea, North",329207,329673.4305270298
Pavlodar,52.3,76.95,Kazakhstan,329002,330105.86753150215
Fort Wayne,41.0885,-85.1436,United States,328564,328275.2596626079
Maringá,-23.4095,-51.93,Brazil,328335,329523.6138304501
Sagar,23.8504,78.75,India,328240,329645.85451344884
Canberra,-35.283,149.129,Australia,327700,328116.16564930324
Sochi,43.59,39.73,Russia,327608,327402.67277178384
Montpellier,43.6104,3.87,France,327254,327390.927480368
Itajaí,-26.8996,-48.68,Brazil,327126,326789.57400096883
Sousse,35.83,10.625,Tunisia,327004,326630.3545761262
Ann Arbor,42.2755,-83.7312,United States,326288,326788.0088584624
Iași,47.1683,27.5749,Romania,325914,324561.723658777
Brahmapur,19.32,84.8,India,324726,325771.5253414728
Birjand,32.88,59.2199,Iran,324703,324722.61250958836
Fayetteville,35.0846,-78.9776,United States,324700,324727.4322172007
Yoshkar Ola,56.6354,47.8749,Russia,324406,325278.4921145872
Miyazaki,31.9182,131.4184,Japan,324384,324883.7368656215
Volzhskiy,48.7948,44.7744,Russia,323293,321799.2188977351
Chenzhou,25.8004,113.0301,China,322997,325105.0644100474
Valladolid,41.65,-4.75,Spain,322304,322830.53148112027
Santa Rosa,38.4465,-122.706,United States,321908,322825.4998955621
Al Kut,32.4907,45.8304,Iraq,321521,322048.37857347255
Córdoba,37.88,-4.77,Spain,321376,321214.28965761256
Smolensk,54.7827,32.0473,Russia,320991,321749.54322936543
Lansing,42.7142,-84.56,United States,320928,322898.5305411529
Ciudad del Este,-25.5167,-54.6161,Paraguay,320872,321472.60491057247
Pelotas,-31.75,-52.33,Brazil,320674,319973.3126028568
Podolsk,55.3804,37.5299,Russia,320635,322033.88351948216
Kherson,46.6325,32.6007,Ukraine,320477,320591.4796902376
Shahjahanpur,27.8804,79.905,India,320434,320261.2907488139
Itu,-23.26,-47.3,Brazil,320170,319967.76091331855
Legazpi,13.17,123.75,Philippines,320081,317157.0803438326
Akita,39.71,140.09,Japan,320069,319874.0465825471
Maroua,10.5956,14.3247,Cameroon,319941,319537.51339000405
Anápolis,-16.3196,-48.96,Brazil,319587,320257.610386708
Pachuca,20.1704,-98.73,Mexico,319581,318404.1517037445
Bukhara,39.78,64.43,Uzbekistan,319476,319545.9531379419
Murmansk,68.97,33.1,Russia,319263,317050.608666563
Windsor,42.3333,-83.0333,Canada,319246,320329.09167120856
Holguín,20.8872,-76.2631,Cuba,319102,318647.0148890754
Oskemen,49.99,82.6149,Kazakhstan,319067,320353.686275309
Tepic,21.5054,-104.88,Mexico,318781,316451.36668840353
Vladimir,56.13,40.4099,Russia,318648,319288.8860596246
Mobile,30.6783,-88.1162,United States,318084,318700.33427236724
Hat Yai,6.9964,100.4714,Thailand,317954,317267.7610507416
Poltava,49.574,34.5703,Ukraine,317847,317172.8463037489
New Delhi,28.6,77.2,India,317797,317522.96564187895
Cumaná,10.45,-64.18,Venezuela,317603,315890.7962429947
Hrodna,53.6779,23.8341,Belarus,317365,316988.28328250337
Rohtak,28.9,76.58,India,317245,317430.2774014266
El Faiyum,29.31,30.84,Egypt,316772,317588.4866694434
Cluj-Napoca,46.7884,23.5984,Romania,316748,318499.8772231836
Bauchi,10.3104,9.84,Nigeria,316149,317006.28713675565
Lexington,38.0423,-84.4587,United States,315939,314667.4491863306
Alicante,38.3512,-0.4836,Spain,315863,316005.8579992091
Dezful,32.3804,48.47,Iran,315482,314700.1103720357
Maiquetía,10.6004,-66.97,Venezuela,315442,315516.7415142209
Armenia,4.5343,-75.6811,Colombia,315328,316007.79251274344
Timișoara,45.7588,21.2234,Romania,315053,314725.5559865071
Ljubljana,46.0553,14.515,Slovenia,314807,316610.3126252962
Pescara,42.4554,14.2187,Italy,314789,313885.725400049
Gdynia,54.5204,18.53,Poland,314664,313557.66244493757
Angeles,15.1451,120.5451,Philippines,314493,315179.5641437804
Ninde,26.6804,119.5301,China,314077,316328.198622253
Aswan,24.0875,32.8989,Egypt,313442,314612.2120895749
Varna,43.2156,27.8953,Bulgaria,312770,312863.61891598394
Koblenz,50.3505,7.6,Germany,312633,313254.46007261757
Cherepovets,59.1404,37.91,Russia,311850,312078.5336044973
Qurghonteppa,37.8373,68.7713,Tajikistan,311574,312796.2346339437
Semey,50.435,80.275,Kazakhstan,311353,312035.1942828828
Galați,45.4559,28.0459,Romania,311156,309369.8930369208
Brașov,45.6475,25.6072,Romania,311044,310832.67804558855
Sambalpur,21.4704,83.9701,India,310852,311944.68785671785
Pucallpa,-8.3689,-74.535,Peru,310750,311463.1461714483
Antofagasta,-23.65,-70.4,Chile,309832,311269.64183859015
Huntsville,34.6989,-86.6414,United States,309716,309193.3508352387
Santa Clarita,34.4155,-118.4992,United States,309378,309840.3243686959
Asheville,35.5706,-82.5537,United States,309250,309378.83965854504
Sapele,5.8904,5.68,Nigeria,309162,308470.10501427256
Dayr az Zawr,35.3304,40.13,Syria,309141,309217.14475087216
Chita,52.055,113.465,Russia,308500,308825.5378020759
Valledupar,10.48,-73.25,Colombia,308237,306982.0014390591
Vitória da Conquista,-14.85,-40.84,Brazil,308204,308234.28399002354
Antsirabe,-19.85,47.0333,Madagascar,307921,307486.35338467907
Naltchik,43.4981,43.6179,Russia,307866,306627.3408060538
Chernihiv,51.5049,31.3015,Ukraine,307684,305280.4595697595
Ratlam,23.3504,75.03,India,307229,307234.5388838439
Saint Paul,44.9477,-93.104,United States,306621,306962.6755581682
Ksar El Kebir,35.0204,-5.91,Morocco,306600,306646.21719646663
Tawau,4.271,117.896,Malaysia,306462,307160.8618344006
Firozabad,27.15,78.3949,India,306409,306341.6346954478
Porto Velho,-8.75,-63.9,Brazil,306180,305099.2455674294
San Salvador de Jujuy,-24.1833,-65.3,Argentina,305891,308164.7997215568
Hatay,36.2304,36.12,Turkey,305564,306106.428422085
Franca,-20.53,-47.39,Brazil,305041,307949.2593512719
Rajahmundry,17.0303,81.79,India,304804,304644.7571061947
Olongapo,14.8296,120.2828,Philippines,304388,304612.75832522335
Craiova,44.3263,23.8259,Romania,304142,304632.86737898685
Kom Ombo,24.47,32.95,Egypt,303962,303928.4638097607
Los Teques,10.42,-67.02,Venezuela,303470,302931.1764588471
Constanța,44.2027,28.61,Romania,303399,303657.4256297177
Saransk,54.1704,45.18,Russia,303394,303946.6459115957
Mengzi,23.3619,103.4061,China,303341,302361.6633428507
Ganca,40.685,46.35,Azerbaijan,303268,301385.0931146279
Fort Collins,40.5479,-105.0658,United States,303184,302999.509572334
Hakodate,41.795,140.74,Japan,302984,304526.19035769126
Antioch,37.9789,-121.7957,United States,302885,301505.30946505215
Chemnitz,50.83,12.92,Germany,302643,304288.6476903953
Henderson,36.0145,-115.0362,United States,302539,302700.84973818745
Kingston upon Hull,53.7504,-0.33,United Kingdom,302296,302228.038856847
Batman,37.8904,41.14,Turkey,302074,302006.1475187597
Qena,26.1505,32.72,Egypt,302027,301497.5450636703
Barddhaman,23.2504,87.865,India,301725,302058.6688296213
Jinja,0.4404,33.1999,Uganda,301619,301841.3640185042
Gujrat,32.58,74.08,Pakistan,301506,300471.36118985276
Tambov,52.73,41.43,Russia,301482,303120.5269219245
Hami,42.827,93.515,China,300848,300579.71831008664
Brest,52.1,23.7,Belarus,300715,300817.30295145995
Mardan,34.2,72.04,Pakistan,300424,299075.86921199574
Bidar,17.9229,77.5175,India,300136,300446.6398954592
Qyzylorda,44.8,65.465,Kazakhstan,300000,299796.4833171761
Rạch Giá,10.0154,105.0914,Vietnam,300000,300218.9173993412
Sóc Trăng,9.6037,105.98,Vietnam,300000,300383.72917294706
Porto-Novo,6.4833,2.6166,Benin,300000,301108.78916840564
Curepipe,-20.3162,57.5166,Mauritius,299975,300294.03690162906
Kanggye,40.9732,126.6032,"Korea, North",299514,300136.25834265753
Baqubah,33.7476,44.6573,Iraq,299479,298118.4176818832
Dumyat,31.4204,31.82,Egypt,299459,299473.2154170452
Jember,-8.1727,113.6873,Indonesia,298585,297592.96334199345
Al Mubarraz,25.4291,49.5659,Saudi Arabia,298562,296788.2254737655
Al Kharj,24.1556,47.312,Saudi Arabia,298428,297769.6580499378
Aomori,40.825,140.71,Japan,298394,298214.39558780036
Chernivtsi,48.3053,25.9216,Ukraine,298251,298673.7574883458
İskenderun,36.5804,36.17,Turkey,297943,299477.35190636583
Cherkasy,49.4347,32.0709,Ukraine,297568,299062.1210939754
Trenton,40.2237,-74.764,United States,296869,296561.71925150923
Bandar Seri Begawan,4.8833,114.9333,Brunei,296500,296198.82452724
Rampur,28.8154,79.025,India,296418,295378.0660821759
Morioka,39.72,141.13,Japan,295172,295019.2783548714
Ar Ramadi,33.42,43.3,Iraq,295121,293262.1553718866
Port-of-Spain,10.652,-61.517,Trinidad And Tobago,294934,294553.43420758314
Vologda,59.21,39.92,Russia,294889,294849.0275312075
Sumy,50.9243,34.7809,Ukraine,294456,296093.42529975704
Swansea,51.63,-3.95,United Kingdom,294339,296235.19741184067
Fukushima,37.74,140.47,Japan,294237,293831.36390303954
Blumenau,-26.92,-49.09,Brazil,293949,294749.8396579037
Thiès,14.8104,-16.93,Senegal,293001,293557.9770937072
Kakinada,16.9675,82.2375,India,292923,293624.9196044039
Panipat,29.4004,76.97,India,292808,292720.8331074852
Makurdi,7.73,8.53,Nigeria,292645,293966.70326318004
Ponta Grossa,-25.09,-50.16,Brazil,292177,292594.04114989605
Minna,9.62,6.55,Nigeria,291905,291526.7424095708
Białystok,53.1504,23.17,Poland,291855,293472.5780765091
Mbeya,-8.89,33.43,Tanzania,291649,292293.92326793383
Cagliari,39.2224,9.104,Italy,291511,290420.9240005679
Lakeland,28.0557,-81.9543,United States,291281,291569.60027386656
Khammam,17.2804,80.1601,India,290839,292724.81782261416
Bafoussam,5.4904,10.4099,Cameroon,290768,291531.2897729236
Kasur,31.1254,74.455,Pakistan,290643,289512.76934507606
Hulan Ergi,47.21,123.61,China,289999,290127.33256015123
Kassel,51.3,9.5,Germany,289924,291680.4516553841
Limeira,-22.5495,-47.4,Brazil,289665,290226.7512475934
Victoria,48.4333,-123.35,Canada,289625,291084.7862501218
Bhuj,23.2504,69.81,India,289429,290185.44166713895
Huizhou,23.08,114.4,China,289201,287103.2074026511
Karimnagar,18.4604,79.11,India,288251,290248.92252032715
Sinuiju,40.0859,124.4213,"Korea, North",288112,287924.6404413915
Talcahuano,-36.7167,-73.1167,Chile,288074,288063.97752175975
Ciudad Obregon,27.4666,-109.925,Mexico,288002,286673.41328420566
Shreveport,32.4659,-93.7959,United States,287432,288471.36631587514
Davenport,41.5563,-90.6052,United States,287413,288454.83651700633
Coatzacoalcos,18.1204,-94.42,Mexico,287285,286942.0066656472
Springfield,37.1943,-93.2915,United States,287222,288642.77087549213
Tirupati,13.6504,79.42,India,287035,288033.8364800756
Cuenca,-2.9,-79,Ecuador,286878,286992.21788457467
Butembo,0.13,29.28,Congo (Kinshasa),286403,286498.5039624095
Sekondi,4.9433,-1.704,Ghana,286248,286122.83542154357
Plano,33.0502,-96.7487,United States,286143,284715.83560789697
Petrópolis,-22.5095,-43.2,Brazil,286071,285365.6439805566
Hospet,15.2804,76.375,India,286007,287721.5441751108
Rangpur,25.75,89.28,Bangladesh,285564,286527.95261002
Rockford,42.2598,-89.0641,United States,285562,285792.5346228399
Newark,40.7245,-74.1725,United States,285154,284458.21374487376
Lincoln,40.8098,-96.6802,United States,285118,285933.06184952846
Zagazig,30.5833,31.5167,Egypt,285097,282985.0544652421
Mandya,12.5704,76.92,India,285034,284108.3413116706
Round Lake Beach,42.3791,-88.0811,United States,284607,283811.0410161436
Bago,17.32,96.515,Burma,284318,284918.5576280914
Barinas,8.6,-70.25,Venezuela,284289,284517.51882103266
Port Moresby,-9.4647,147.1925,Papua New Guinea,283733,284301.763526727
Iksan,35.941,126.9454,"Korea, South",283501,282341.5697523205
Alwar,27.5454,76.6049,India,283228,283534.6990772027
Cadiz,10.9587,123.3086,Philippines,283157,284704.480876238
Cádiz,36.535,-6.225,Spain,283157,281166.33490854525
Aizawl,23.7104,92.72,India,283021,281810.82318906166
Kupang,-10.1787,123.583,Indonesia,282396,282320.3535082563
Tongchuan,35.08,109.03,China,282258,281496.3143161899
Zhytomyr,50.2456,28.6622,Ukraine,282192,283754.5042046582
Jining,41.03,113.08,China,281716,283442.96963606955
Bahía Blanca,-38.74,-62.265,Argentina,281536,282238.9227188311
Cap-Haïtien,19.7592,-72.2125,Haiti,281487,281240.88937780424
Ambato,-1.2696,-78.62,Ecuador,281425,281571.53369127784
South Bend,41.6771,-86.2692,United States,281100,279328.415460161
Gorgan,36.8303,54.48,Iran,281023,281466.51813276444
Batna,35.57,6.17,Algeria,280798,281632.74475925055
Tacna,-18,-70.25,Peru,280098,277159.4720015499
Savannah,32.0282,-81.1786,United States,280082,279079.18871100026
Tacloban,11.2504,125,Philippines,280006,280686.4757271511
Xinzhou,38.4104,112.72,China,279607,281395.985882858
Cotabato,7.2169,124.2484,Philippines,279519,279076.35047453427
Rize,41.0208,40.5219,Turkey,279450,279625.82552899915
Ica,-14.068,-75.7255,Peru,279420,279430.2607399023
Sumqayt,40.58,49.63,Azerbaijan,279159,280397.6658851493
Taganrog,47.23,38.92,Russia,279056,280406.30310759955
Kaolack,14.15,-16.1,Senegal,277812,276655.0734927135
Kostroma,57.77,40.94,Russia,277656,278406.7334692426
Irvine,33.6772,-117.7738,United States,277453,276462.9168628432
Owo,7.2004,5.59,Nigeria,276574,276476.0059714252
Sukabumi,-6.9096,106.9,Indonesia,276414,276711.64801481686
Komsomolsk na Amure,50.555,137.02,Russia,275908,277203.9365293613
Prokopyevsk,53.9,86.71,Russia,275615,273489.2363844988
Bern,46.9167,7.467,Switzerland,275329,277387.03616226563
Montería,8.7575,-75.89,Colombia,275198,274172.66652048985
Mbandaka,0.04,18.26,Congo (Kinshasa),274996,275004.42623837624
Ciudad Victoria,23.72,-99.13,Mexico,274900,274002.1681065737
Sétif,36.18,5.4,Algeria,274744,273716.7086599082
Pamplona,42.82,-1.65,Spain,274545,275484.9400127599
Jinshi,29.6321,111.8517,China,274000,274372.82296488504
Ubon Ratchathani,15.25,104.83,Thailand,273893,274948.90372461826
Crato,-7.4639,-63.04,Brazil,273883,272874.9301680286
Crato,-7.2296,-39.42,Brazil,273883,273771.59543258155
Guantánamo,20.1453,-75.2061,Cuba,272801,273361.3103174813
Blackpool,53.8304,-3.05,United Kingdom,272792,272543.80043992377
Majene,-3.5336,118.966,Indonesia,272377,273434.1115561174
Yamagata,38.2705,140.32,Japan,272209,271410.21177978005
Pakalongan,-6.8796,109.67,Indonesia,272000,272117.6444293334
Elâzığ,38.68,39.23,Turkey,271492,270147.88000190695
Sari,36.5504,53.1,Iran,271467,271265.6522581956
Canton,40.8076,-81.3677,United States,271184,272659.34662032203
Tasikmalaya,-7.3254,108.2147,Indonesia,271143,271798.5801414811
Bijapur,16.8354,75.71,India,271064,271669.51136703877
Venice,45.4387,12.335,Italy,270816,269686.4196972126
Jersey City,40.7161,-74.0682,United States,270753,272118.270737862
Chula Vista,32.6281,-117.0145,United States,270471,269023.47221087693
Gombe,10.2904,11.17,Nigeria,270366,270532.2164966882
Münster,51.9704,7.62,Germany,270184,269924.99988871475
Thohoyandou,-22.95,30.48,South Africa,269707,269546.3141323537
Kiel,54.3304,10.13,Germany,269427,267778.4096075252
Malmö,55.5833,13.0333,Sweden,269349,270734.0325158124
Nancy,48.6837,6.2,France,268976,267256.1606755217
Mokpo,34.8068,126.3958,"Korea, South",268402,269393.7395866828
Windhoek,-22.57,17.0835,Namibia,268132,269129.4255769156
Tebingtinggi,3.3304,99.13,Indonesia,268043,268273.77394776366
Yanbu al Bahr,24.0943,38.0493,Saudi Arabia,267590,267726.54383069393
Eugene,44.0563,-123.1173,United States,267568,268543.42148127255
Tshikapa,-6.41,20.77,Congo (Kinshasa),267462,269794.3456658041
Reading,40.34,-75.9266,United States,267300,266425.83503557515
Sterlitamak,53.63,55.96,Russia,267231,267220.2777752555
Padangsidempuan,1.3887,99.2734,Indonesia,266882,266020.27322990895
Myeik,12.4541,98.6115,Burma,266720,265323.0113959907
Temuco,-38.73,-72.58,Chile,265901,266107.3091649475
Lafayette,30.2083,-92.0322,United States,265746,265727.5310863471
Lausanne,46.5304,6.65,Switzerland,265702,264565.99334007094
Saint-Étienne,45.4304,4.38,France,265684,266115.14821585815
Petrozavodsk,61.85,34.28,Russia,265025,264527.39398914727
Imphal,24.8,93.95,India,264986,266036.42690706626
Umuahia,5.532,7.486,Nigeria,264662,265496.1521880345
Uruapan,19.4204,-102.07,Mexico,264531,262386.00493862765
Georgetown,6.802,-58.167,Guyana,264350,263935.13885970967
Sivas,39.7454,37.035,Turkey,264022,264701.4833782836
Tubruq,32.08,23.96,Libya,263527,263217.85289084306
Saint Petersburg,27.793,-82.6652,United States,263255,262999.92632867367
Graz,47.0778,15.41,Austria,263234,262658.36035774875
Kindu,-2.9639,25.91,Congo (Kinshasa),262914,263816.85756377387
Lubbock,33.5643,-101.8871,United States,262505,264141.10647344135
Aqtobe,50.28,57.17,Kazakhstan,262457,261734.0733746322
Paraná,-31.7333,-60.5333,Argentina,262295,262166.714757398
Az Aubayr,30.3892,47.708,Iraq,262219,263126.72713780066
Peoria,40.752,-89.6155,United States,262010,261974.46533723042
Hotan,37.0997,79.9269,China,261730,261204.6820007974
Cabo Frio,-22.89,-42.04,Brazil,261721,261673.96543435272
Balıkesir,39.6504,27.89,Turkey,261516,261976.51719999962
Zhuanghe,39.6823,122.9619,China,261510,262156.8885596282
Sincelejo,9.2904,-75.38,Colombia,261187,260291.47454057002
Petrolina,-9.38,-40.51,Brazil,260985,260754.93366401517
Acarigua,9.5804,-69.2,Venezuela,260921,260567.12711247866
Wollongong,-34.4154,150.89,Australia,260914,260024.3578813049
Uberaba,-19.78,-47.95,Brazil,260843,261408.38904684634
Myrtle Beach,33.7096,-78.8843,United States,260487,261042.60231275592
Laredo,27.5616,-99.487,United States,260244,258494.09763720894
Adapazarı,40.8,30.415,Turkey,260109,260620.48616871994
Konibodom,40.2922,70.4272,Tajikistan,259876,259473.04657362282
Salem,44.9232,-123.0245,United States,259816,257833.79479480223
Kondoz,36.728,68.8725,Afghanistan,259809,260033.90264484982
Tampere,61.5,23.75,Finland,259279,258949.40386306343
Columbus,32.51,-84.8771,United States,259160,258938.73497543018
Popayán,2.42,-76.61,Colombia,258750,258754.3440772525
Nonthaburi,13.8337,100.4833,Thailand,258550,259440.412697801
Al Mukalla,14.5412,49.1259,Yemen,258132,257712.21396767593
Rio Branco,-9.9666,-67.8,Brazil,257642,259768.4271788812
Etawah,26.7855,79.015,India,257448,257159.8324687706
Mendefera,14.886,38.8163,Eritrea,257390,256338.6350231459
Cascavel,-24.9596,-53.46,Brazil,257172,257797.25607787835
Ondo,7.0904,4.84,Nigeria,257005,257218.0039499365
Chimoio,-19.12,33.47,Mozambique,256936,257946.89519863357
Ensenada,31.87,-116.62,Mexico,256565,257760.8157931989
Dzerzhinsk,56.2504,43.46,Russia,256537,255875.15834778605
Da Lat,11.9304,108.42,Vietnam,256019,256270.83339161077
Montgomery,32.347,-86.2663,United States,255908,255751.55724848423
Damaturu,11.749,11.966,Nigeria,255895,256830.5030231512
Raichur,16.2104,77.355,India,255240,254632.38728704653
Daloa,6.89,-6.45,Côte D’Ivoire,255168,255430.03611254803
Rivne,50.6166,26.2528,Ukraine,255106,256377.39530795935
Turpan,42.9354,89.165,China,254900,255156.9931985207
Freiburg,48.0004,7.8699,Germany,254889,254956.61043625925
Poza Rica de Hidalgo,20.5504,-97.47,Mexico,254481,253289.60245630617
Chuxiong,25.0364,101.5456,China,254370,255354.59209961118
Cirebon,-6.7333,108.5666,Indonesia,254298,256164.39460700442
Paramaribo,5.835,-55.167,Suriname,254169,254696.64971753088
